date,OT,1,2,3,4,5,6,7,8,9,10
2010-01-01 00:00:00,20.0,20.0,182.0,182.0,91.0,182.0,136.0,91.0,91.0,136.0,228.0
2010-01-01 00:05:00,22.0,22.0,174.0,174.0,87.0,174.0,131.0,87.0,87.0,131.0,218.0
2010-01-01 00:10:00,22.0,22.0,183.0,183.0,92.0,183.0,139.0,92.0,92.0,139.0,229.0
2010-01-01 00:15:00,50.0,49.0,137.0,139.0,60.0,158.0,111.0,57.0,55.0,99.0,99.0
2010-01-01 00:20:00,37.0,35.0,128.0,123.0,54.0,131.0,111.0,46.0,52.0,78.0,85.0
2010-01-01 00:25:00,55.0,60.0,118.0,113.0,58.0,95.0,86.0,44.0,45.0,54.0,92.0
2010-01-01 00:30:00,42.0,40.0,129.0,129.0,48.0,137.0,115.0,45.0,48.0,57.0,78.0
2010-01-01 00:35:00,45.0,45.0,97.0,96.0,52.0,117.0,87.0,30.0,33.0,70.0,94.0
2010-01-01 00:40:00,33.0,32.0,94.0,90.0,52.0,107.0,78.0,40.0,41.0,44.0,96.0
2010-01-01 00:45:00,50.0,51.0,106.0,94.0,42.0,114.0,88.0,39.0,39.0,62.0,63.0
2010-01-01 00:50:00,34.0,32.0,96.0,93.0,50.0,107.0,40.0,36.0,36.0,57.0,77.0
2010-01-01 00:55:00,24.0,21.0,78.0,81.0,43.0,99.0,72.0,42.0,44.0,51.0,65.0
2010-01-01 01:00:00,24.0,23.0,96.0,95.0,46.0,98.0,78.0,29.0,31.0,57.0,63.0
2010-01-01 01:05:00,30.0,30.0,78.0,82.0,53.0,91.0,60.0,29.0,27.0,50.0,59.0
2010-01-01 01:10:00,21.0,23.0,81.0,76.0,27.0,92.0,70.0,33.0,27.0,38.0,63.0
2010-01-01 01:15:00,37.0,39.0,87.0,90.0,33.0,104.0,75.0,31.0,34.0,38.0,61.0
2010-01-01 01:20:00,32.0,26.0,77.0,79.0,32.0,79.0,68.0,29.0,33.0,39.0,57.0
2010-01-01 01:25:00,21.0,21.0,78.0,77.0,42.0,69.0,55.0,27.0,27.0,36.0,45.0
2010-01-01 01:30:00,23.0,23.0,62.0,66.0,42.0,70.0,65.0,24.0,24.0,38.0,47.0
2010-01-01 01:35:00,30.0,29.0,62.0,64.0,25.0,63.0,50.0,19.0,21.0,47.0,49.0
2010-01-01 01:40:00,17.0,14.0,70.0,67.0,49.0,68.0,48.0,17.0,15.0,42.0,41.0
2010-01-01 01:45:00,22.0,25.0,70.0,72.0,34.0,70.0,52.0,25.0,25.0,43.0,50.0
2010-01-01 01:50:00,25.0,25.0,63.0,61.0,28.0,46.0,50.0,20.0,20.0,35.0,46.0
2010-01-01 01:55:00,28.0,28.0,65.0,66.0,22.0,78.0,54.0,17.0,19.0,29.0,46.0
2010-01-01 02:00:00,28.0,26.0,73.0,73.0,24.0,90.0,65.0,20.0,18.0,47.0,40.0
2010-01-01 02:05:00,20.0,21.0,69.0,70.0,37.0,84.0,62.0,17.0,19.0,36.0,43.0
2010-01-01 02:10:00,33.0,28.0,62.0,58.0,46.0,66.0,42.0,22.0,20.0,30.0,32.0
2010-01-01 02:15:00,25.0,24.0,66.0,66.0,31.0,75.0,52.0,11.0,12.0,32.0,36.0
2010-01-01 02:20:00,25.0,28.0,73.0,73.0,34.0,84.0,63.0,19.0,19.0,31.0,40.0
2010-01-01 02:25:00,14.0,14.0,76.0,78.0,36.0,77.0,61.0,16.0,17.0,33.0,29.0
2010-01-01 02:30:00,20.0,21.0,64.0,64.0,31.0,67.0,52.0,20.0,18.0,35.0,32.0
2010-01-01 02:35:00,14.0,14.0,66.0,65.0,41.0,71.0,49.0,16.0,21.0,22.0,38.0
2010-01-01 02:40:00,24.0,25.0,69.0,71.0,36.0,63.0,57.0,15.0,16.0,35.0,33.0
2010-01-01 02:45:00,30.0,29.0,53.0,52.0,29.0,57.0,39.0,16.0,15.0,22.0,43.0
2010-01-01 02:50:00,29.0,28.0,50.0,59.0,31.0,62.0,45.0,11.0,11.0,26.0,35.0
2010-01-01 02:55:00,19.0,19.0,52.0,52.0,26.0,54.0,102.0,14.0,15.0,26.0,36.0
2010-01-01 03:00:00,20.0,19.0,60.0,56.0,25.0,63.0,35.0,14.0,14.0,20.0,34.0
2010-01-01 03:05:00,14.0,16.0,62.0,62.0,31.0,65.0,44.0,16.0,17.0,23.0,27.0
2010-01-01 03:10:00,24.0,21.0,53.0,51.0,36.0,54.0,43.0,13.0,11.0,27.0,33.0
2010-01-01 03:15:00,18.0,18.0,45.0,43.0,31.0,55.0,34.0,7.0,7.0,22.0,36.0
2010-01-01 03:20:00,15.0,17.0,62.0,59.0,35.0,58.0,41.0,18.0,17.0,22.0,24.0
2010-01-01 03:25:00,18.0,25.0,49.0,50.0,32.0,45.0,32.0,20.0,17.0,15.0,29.0
2010-01-01 03:30:00,25.0,43.0,54.0,53.0,35.0,54.0,50.0,44.0,10.0,23.0,40.0
2010-01-01 03:35:00,20.0,22.0,49.0,47.0,42.0,53.0,40.0,7.0,6.0,25.0,30.0
2010-01-01 03:40:00,18.0,20.0,74.0,74.0,39.0,90.0,76.0,19.0,20.0,24.0,32.0
2010-01-01 03:45:00,31.0,30.0,66.0,61.0,44.0,63.0,52.0,9.0,9.0,28.0,40.0
2010-01-01 03:50:00,23.0,26.0,49.0,47.0,47.0,56.0,40.0,13.0,11.0,18.0,30.0
2010-01-01 03:55:00,27.0,24.0,48.0,49.0,31.0,48.0,36.0,13.0,13.0,30.0,29.0
2010-01-01 04:00:00,17.0,17.0,67.0,65.0,36.0,72.0,52.0,19.0,21.0,23.0,24.0
2010-01-01 04:05:00,24.0,24.0,73.0,75.0,43.0,67.0,46.0,13.0,13.0,31.0,31.0
2010-01-01 04:10:00,21.0,23.0,65.0,63.0,53.0,72.0,49.0,17.0,16.0,25.0,35.0
