Noise Level (std ratio),mse,mae
noise_0.01,0.0008992452058009803,0.022398723289370537
noise_0.02,0.000898918486200273,0.022393804043531418
noise_0.03,0.000899358419701457,0.022400153800845146
noise_0.05,0.00089727045269683,0.022385070100426674
noise_0.07,0.000897718477062881,0.022387979552149773
noise_0.1,0.0008891563047654927,0.02233980782330036
noise_0.12,0.000899068545550108,0.022449731826782227
noise_0.15,0.0008966253371909261,0.022497005760669708
noise_0.18,0.0008888826705515385,0.02241946943104267
noise_0.2,0.0008816409972496331,0.02231346070766449
