Noise Level (std ratio),mse,mae
noise_0.01,0.0008706916705705225,0.022338565438985825
noise_0.02,0.0008719973266124725,0.022355707362294197
noise_0.03,0.0008713995339348912,0.02234933339059353
noise_0.05,0.0008709915564395487,0.022343989461660385
noise_0.07,0.0008720664773136377,0.022365432232618332
noise_0.1,0.0008783083176240325,0.02244863100349903
noise_0.12,0.000876532809343189,0.022417502477765083
noise_0.15,0.0008820280781947076,0.022526899352669716
noise_0.18,0.0008802476222626865,0.02250901609659195
noise_0.2,0.0008943303837440908,0.02262866497039795
