Noise Level (std ratio),mse,mae
noise_0.01,0.0009509592782706022,0.02297903411090374
noise_0.02,0.0009503713226877153,0.022971821948885918
noise_0.03,0.0009505893685854971,0.022979309782385826
noise_0.05,0.0009513651602901518,0.02301167882978916
noise_0.07,0.0009468977805227041,0.02297028712928295
noise_0.1,0.0009614218142814934,0.02311447262763977
noise_0.12,0.0009572202689014375,0.02308337390422821
noise_0.15,0.0009656844777055085,0.023249374702572823
noise_0.18,0.000964557402767241,0.023250779137015343
noise_0.2,0.0009610083652660251,0.023238718509674072
