Noise Level (std ratio),mse,mae
noise_0.01,0.0012616460444405675,0.026465196162462234
noise_0.02,0.0012613844592124224,0.026461808010935783
noise_0.03,0.0012635578168556094,0.026495061814785004
noise_0.05,0.0012599659385159612,0.02648152969777584
noise_0.07,0.0012559763854369521,0.026452740654349327
noise_0.1,0.0012569193495437503,0.026578161865472794
noise_0.12,0.0012577776797115803,0.026532558724284172
noise_0.15,0.001277985400520265,0.026662025600671768
noise_0.18,0.0012522701872512698,0.026536038145422935
noise_0.2,0.0012881944421678782,0.02676423266530037
