run_id,seed,Teacher_mse,Teacher_mae,Student_TaskOnly_mse,Student_TaskOnly_mae,Student_RDT_mse,Student_RDT_mae,Student_Follower_mse,Student_Follower_mae,teacher_model_path,student_task_only_model_path,student_rdt_model_path,student_follower_model_path
0,42,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run0_seed42.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run0_seed42.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run0_seed42.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run0_seed42.pt
1,43,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run1_seed43.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run1_seed43.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run1_seed43.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run1_seed43.pt
2,44,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run2_seed44.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run2_seed44.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run2_seed44.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run2_seed44.pt
3,45,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run3_seed45.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run3_seed45.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run3_seed45.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run3_seed45.pt
4,46,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run4_seed46.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run4_seed46.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run4_seed46.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run4_seed46.pt
5,47,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run5_seed47.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run5_seed47.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run5_seed47.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run5_seed47.pt
6,48,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run6_seed48.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run6_seed48.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run6_seed48.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run6_seed48.pt
7,49,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run7_seed49.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run7_seed49.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run7_seed49.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run7_seed49.pt
8,50,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run8_seed50.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run8_seed50.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run8_seed50.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run8_seed50.pt
9,51,23.981977462768555,3.534193754196167,23.942136764526367,3.4757802486419678,23.810686111450195,3.519353151321411,24.735448837280273,3.5167036056518555,d:\OneDrive\Project\Reverse_Distill_Training\results\models\teacher_DLinear_run9_seed51.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_task_only_run9_seed51.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_rdt_run9_seed51.pt,d:\OneDrive\Project\Reverse_Distill_Training\results\models\student_PatchTST_follower_run9_seed51.pt
