Noise Level (std ratio),mse,mae
noise_0.01,24.73326873779297,3.5166866779327393
noise_0.02,24.728906631469727,3.517040967941284
noise_0.03,24.730106353759766,3.5174460411071777
noise_0.05,24.702377319335938,3.518018960952759
noise_0.07,24.699800491333008,3.5213091373443604
noise_0.1,24.678918838500977,3.526794910430908
noise_0.12,24.68623924255371,3.5322508811950684
noise_0.15,24.64533233642578,3.540231704711914
noise_0.18,24.741464614868164,3.553649425506592
noise_2,334.71875,14.928879737854004
