Noise Level (std ratio),mse,mae
noise_0.01,23.80516242980957,3.5188369750976562
noise_0.02,23.812881469726562,3.5182626247406006
noise_0.03,23.80394172668457,3.5167057514190674
noise_0.05,23.808055877685547,3.5148017406463623
noise_0.07,23.790536880493164,3.5112271308898926
noise_0.1,23.682952880859375,3.5018770694732666
noise_0.12,23.786420822143555,3.5083072185516357
noise_0.15,24.125896453857422,3.5308406352996826
noise_0.18,24.470050811767578,3.5464816093444824
noise_2,269.7579345703125,11.637343406677246
