Noise Level (std ratio),mse,mae
noise_0.01,23.941360473632812,3.4758503437042236
noise_0.02,23.955829620361328,3.4768521785736084
noise_0.03,23.94704818725586,3.4758384227752686
noise_0.05,23.958845138549805,3.476951837539673
noise_0.07,23.989789962768555,3.4788835048675537
noise_0.1,24.085521697998047,3.4875593185424805
noise_0.12,24.072633743286133,3.4850103855133057
noise_0.15,24.218303680419922,3.4991695880889893
noise_0.18,24.312698364257812,3.509373426437378
noise_2,63.04560089111328,5.832541465759277
